filename,category,duration_s,start_s,shot_dur_s,pilot_ready
00181DVD.mp4,nature,30.030,0.000,14.55,1
00182DVD.mp4,nature,30.097,0.000,30.10,1
00189DVD.mp4,nature,30.097,4.137,14.11,1
00191DVD.mp4,nature,29.930,0.000,29.93,0
foraging02DVD.mp4,social_undir,29.997,0.000,14.98,1
foraging03DVD.mp4,social_undir,30.030,0.000,10.01,1
foraging04DVD.mp4,social_undir,30.016,0.000,30.02,0
foraging06DVD.mp4,social_undir,30.030,0.000,10.01,0
